path_step_id,path_id,sequence,target_node_id,connection_id,step_goal,opening_prompt,activity,understanding_check,expected_observation,materials,content_revision,source_ids,status,reviewer_role,review_date,educator_notes
p-music-pattern-s03,p-music-pattern,3,n-equal-parts,c-011,Describe equal-duration divisions of a span.,How could we split this span evenly?,Outline: show equal spacing on a timing strip.,,,,1,s-openstax-fractions,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-music-pattern-s04,p-music-pattern,4,n-fractions,c-012,Name a part of a stated whole.,Which whole are these parts measured against?,Outline: use a paper timing strip; avoid assuming note names always equal beat fractions.,,,,1,s-openstax-fractions,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-cooking-s01,p-cooking,1,n-measurement,c-013,Explain why a measured amount needs a unit.,Would saying two be enough for someone following a recipe?,Compare labels reading two cups and two spoonfuls using empty containers.,What information is missing from two?,Names the unit and recognizes that container sizes matter.,"Empty cup, spoon, paper recipe cards",1,s-openstax-measure,draft,,,First activity is a fuller draft; human review is still required.
p-cooking-s02,p-cooking,2,n-equal-parts,c-014,Check whether shares are equal in the relevant measure.,What would make these shares equal?,Outline: partition a paper representation of one measured whole.,,,,1,s-openstax-fractions,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-cooking-s03,p-cooking,3,n-fractions,c-012,Name a part of a stated whole.,Which whole are these parts measured against?,Outline: name equal shares in a pretend recipe diagram.,,,,1,s-openstax-fractions,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-cooking-s04,p-cooking,4,n-equivalent-fractions,c-015,Recognize two representations of the same amount.,Could differently divided pictures show the same share?,Outline: compare original paper strips representing the same whole.,,,,1,s-openstax-fractions,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-plants-s01,p-plants,1,n-plant-parts,c-016,Identify visible plant parts without inventing hidden observations.,What parts can you actually see?,Observe a familiar plant or educator-made drawing; label visible structures.,How do you know which features you observed and which you inferred?,Separates visible observations from claims about hidden structures.,Familiar plant or reviewed drawing; paper,1,s-ngss-parts,draft,,,First activity is a fuller draft; human review is still required.
p-plants-s02,p-plants,2,n-plant-needs,c-017,Ask a specific question about plant needs.,What might this plant need to grow?,Outline: choose a species and life stage before discussing conditions.,,,,1,s-ngss-needs,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-plants-s03,p-plants,3,n-fair-test,c-018,Plan a comparison that changes one chosen factor.,What should stay the same in our comparison?,Outline: plan only; growth observations require time.,,,,1,s-ngss-fair-test,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-plants-s04,p-plants,4,n-observation,c-019,Distinguish a recorded observation from an explanation.,"What would we record, and what would remain a guess?",Outline: design a simple observation record using hypothetical data clearly marked as such.,,,,1,s-ngss-fair-test,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-building-s01,p-building,1,n-length,c-020,Compare component lengths with a consistent unit.,How long should this paper wall be?,Measure paper strips using the same ruler and starting point.,What happens if we start from different ruler marks?,Aligns the measuring start and names a length unit.,Paper strips and ruler,1,s-openstax-geometry,draft,,,First activity is a fuller draft; human review is still required.
p-building-s02,p-building,2,n-perimeter,c-021,Describe the total length around a shape.,How much border would go around this floor plan?,Outline: trace and measure a small paper rectangle.,,,,1,s-openstax-geometry,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-building-s03,p-building,3,n-area,c-022,Distinguish surface coverage from boundary length.,Would knowing the border tell us how many floor squares we need?,Outline: cover a paper region with equal unit squares.,,,,1,s-openstax-geometry,draft,,,Outline: educator must complete the activity and understanding check before testing.
p-building-s04,p-building,4,n-length,c-023,Explain why a side measurement cannot replace area.,Why do we use different units for a side and the covered surface?,Outline: revisit the original strip beside the tiled region.,,,,1,s-openstax-geometry,draft,,,Outline: educator must complete the activity and understanding check before testing.
